PermissionName,ADMIN,CLIENT_ADMIN,CLIENT_MGR,SUPERVISOR,EDITOR,USER
AdminUtilitiesAccess,true,false,false,false,false,false
ApplicationRestart,true,false,false,false,false,false
ArchitectureView,true,true,true,true,true,true
AssetCreate,true,true,true,true,false,false
AssetDelete,true,true,true,true,false,false
AssetEdit,true,true,true,true,true,false
AssetExport,true,true,true,true,true,false
AssetImport,true,true,true,true,false,false
AssetView,true,true,true,true,true,true
BundleCreate,true,true,true,true,false,false
BundleDelete,true,true,true,true,false,false
BundleEdit,true,true,true,true,false,false
BundleView,true,true,true,true,true,false
CommentCreate,true,true,true,true,true,false
CommentDelete,true,true,true,true,true,false
CommentEdit,true,true,true,true,true,false
CommentView,true,true,true,true,true,true
CompanyCreate,true,false,false,false,false,false
CompanyDelete,true,false,false,false,false,false
CompanyEdit,true,false,false,false,false,false
CompanyView,true,false,false,false,false,false
CookbookView,true,true,true,true,false,false
DataTransferBatchDelete,true,true,true,true,false,false
DataTransferBatchProcess,true,true,true,true,false,false
DataTransferBatchView,true,true,true,true,false,false
DepAnalyzerGenerate,true,true,true,true,false,false
DepAnalyzerView,true,true,true,true,true,false
EventDashboardDialOverride,true,true,true,false,false,false
ManufacturerCreate,true,true,false,false,false,false
ManufacturerCreateFromImport,true,true,false,false,false,false
ManufacturerDelete,true,false,false,false,false,false
ManufacturerEdit,true,false,false,false,false,false
ManufacturerList,true,false,false,false,false,false
ManufacturerMerge,true,false,false,false,false,false
ManufacturerView,true,true,true,true,true,false
AdminMenuView,true,true,true,false,false,false
AssetMenuView,true,true,true,true,true,true
BundleMenuView,true,true,true,true,true,false
DashboardMenuView,true,true,true,true,true,true
EventMenuView,true,true,true,true,true,false
HelpMenuView,false,false,false,false,false,false
RackMenuView,true,true,true,true,true,true
ReportMenuView,true,true,true,true,false,false
LicenseView,true,false,false,false,false,false
LicenseAdministration,true,false,false,false,false,false
LicenseDelete,true,false,false,false,false,false
ModelCreate,true,false,false,false,false,false
ModelCreateFromImport,true,true,false,false,false,false
ModelDelete,true,false,false,false,false,false
ModelEdit,true,true,false,false,false,false
ModelExport,true,false,false,false,false,false
ModelImport,true,false,false,false,false,false
ModelList,true,false,false,false,false,false
ModelMerge,true,false,false,false,false,false
ModelValidate,true,true,true,true,false,false
ModelView,true,true,true,true,true,false
EventChangeStatus,true,true,true,true,false,false
EventCreate,true,true,true,true,false,false
EventDelete,true,true,true,true,false,false
EventEdit,true,true,true,true,false,false
TaskExport,true,true,true,true,true,false
EventView,true,true,true,true,true,false
NewsCreate,true,true,true,true,true,false
NewsDelete,true,true,true,true,true,false
NewsEdit,true,true,true,true,true,false
NewsView,true,true,true,true,true,false
NoticeCreate,true,true,false,false,false,false
NoticeDelete,true,true,false,false,false,false
NoticeEdit,true,true,false,false,false,false
NoticeView,true,true,false,false,false,false
PartyCreate,true,true,false,false,false,false
PartyDelete,true,true,false,false,false,false
PartyEdit,true,true,false,false,false,false
PartyView,true,true,false,false,false,false
PartyRelationshipTypeCreate,true,true,false,false,false,false
PartyRelationshipTypeDelete,true,true,false,false,false,false
PartyRelationshipTypeEdit,true,true,false,false,false,false
PartyRelationshipTypeView,true,true,false,false,false,false
PartyRoleCreate,true,true,false,false,false,false
PartyRoleDelete,true,true,false,false,false,false
PartyRoleEdit,true,true,false,false,false,false
PartyRoleView,true,true,false,false,false,false
PartyTypeCreate,true,true,false,false,false,false
PartyTypeDelete,true,true,false,false,false,false
PartyTypeEdit,true,true,false,false,false,false
PartyTypeView,true,true,false,false,false,false
PersonBulkDelete,true,true,false,false,false,false
PersonCreate,true,true,true,false,false,false
PersonDelete,true,true,true,false,false,false
PersonEdit,true,true,true,false,false,false
PersonEditTDS,true,true,true,false,false,false
PersonExpiryDate,true,true,true,false,false,false
PersonExport,true,true,true,false,false,false
PersonImport,true,true,true,false,false,false
PersonStaffList,true,true,true,false,false,false
PersonView,true,true,true,false,false,false
PreferenceGet,true,true,true,true,true,true
PreferenceSet,true,true,true,true,true,true
ProgressList,true,true,false,false,false,false
ProgressView,true,true,true,true,true,true
ProjectCreate,true,true,true,false,false,false
ProjectDelete,true,true,false,false,false,false
ProjectEdit,true,true,true,false,false,false
ProjectFieldSettingsEdit,true,true,true,false,false,false
ProjectFieldSettingsView,true,true,true,false,false,false
ProjectShowAll,true,true,true,false,false,false
ProjectStaffEdit,true,true,true,false,false,false
ProjectStaffList,true,true,true,true,true,true
ProjectStaffShow,true,true,true,true,true,true
ProjectView,true,true,true,true,true,true
RackCreate,true,true,true,true,true,false
RackDelete,true,true,true,true,true,false
RackEdit,true,true,true,true,true,false
RackLayoutModify,true,true,true,true,true,false
RackView,true,true,true,true,true,false
RecipeCreate,true,true,true,true,false,false
RecipeDelete,true,true,true,true,false,false
RecipeEdit,true,true,true,true,false,false
RecipeGenerateTasks,true,true,true,true,false,false
RecipeRelease,true,true,true,true,false,false
RecipeView,true,true,true,true,false,false
ReportViewDiscovery,true,true,true,true,false,false
ReportViewEventDay,true,true,true,true,false,false
ReportViewEventPrep,true,true,true,true,false,false
ReportViewPlanning,true,true,true,true,true,false
ReportViewProjectDailyMetrics,true,true,true,false,false,false
RolePermissionEdit,true,true,true,false,false,false
RolePermissionView,true,true,true,false,false,false
RoleTypeCreate,true,true,false,false,false,false
RoleTypeDelete,true,true,false,false,false,false
RoleTypeEdit,true,true,false,false,false,false
RoleTypeView,true,true,false,false,false,false
RoomCreate,true,true,true,true,true,false
RoomDelete,true,true,true,true,true,false
RoomEdit,true,true,true,true,true,false
RoomListActionColumn,true,true,true,true,true,false
RoomMerge,true,true,true,true,true,false
RoomView,true,true,true,true,true,false
SequenceGetNext,true,true,true,true,true,true
TaskBatchDelete,true,true,true,true,false,false
TaskBatchRefresh,true,true,true,true,false,false
TaskBatchView,true,true,true,true,false,false
TaskChangeStatus,true,true,true,true,false,false
TaskCreate,true,true,true,true,false,false
TaskDelete,true,true,true,true,false,false
TaskEdit,true,true,true,true,false,false
TaskGraphView,true,true,true,true,true,true
TaskManagerView,true,true,true,true,true,false
TaskPublish,true,true,true,true,false,false
TaskSignMessage,true,true,true,true,true,true
TaskTimelineView,true,true,true,true,false,false
TaskView,true,true,true,true,true,true
TaskViewCriticalPath,true,true,true,true,false,false
TaskViewUnpublished,true,true,true,true,false,false
UserGeneralAccess,true,true,true,true,true,true
UserCreate,true,true,false,false,false,false
UserDelete,true,true,false,false,false,false
UserEdit,true,true,true,false,false,false
UserExport,true,true,false,false,false,false
UserImport,true,true,false,false,false,false
UserListAll,true,true,true,true,false,false
UserResetOwnPassword,true,true,true,true,true,true
UserResetPassword,true,true,false,false,false,false
UserSendActivations,true,true,true,false,false,false
UserUnlock,true,true,false,false,false,false
UserUpdateOwnAccount,true,true,true,true,true,true
UserView,true,true,true,false,false,false
WorkflowCreate,true,true,false,false,false,false
WorkflowDelete,true,true,false,false,false,false
WorkflowEdit,true,true,false,false,false,false
WorkflowList,true,true,false,false,false,false
WorkflowView,true,true,false,false,false,false